affix_family,installable_tags,rarity_1_name,rarity_1_localized_effect,rarity_1_xml_effects,rarity_1_modifier_id,rarity_2_name,rarity_2_localized_effect,rarity_2_xml_effects,rarity_2_modifier_id,rarity_3_name,rarity_3_localized_effect,rarity_3_xml_effects,rarity_3_modifier_id,rarity_4_name,rarity_4_localized_effect,rarity_4_xml_effects,rarity_4_modifier_id,rarity_5_name,rarity_5_localized_effect,rarity_5_xml_effects,rarity_5_modifier_id,rarity_6_name,rarity_6_localized_effect,rarity_6_xml_effects,rarity_6_modifier_id
affixModCripple,"tool,weapon",Common Cripple,You have a 10% chance to cripple an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryCrippled01)",affixModCripple1,[68F968]Uncommon[-] Cripple,You have a 20% chance to cripple an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryCrippled01)",affixModCripple2,[38A6F6]Rare[-] Cripple,You have a 30% chance to cripple an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryCrippled01)",affixModCripple3,[852EC8]Epic[-] Cripple,You have a 40% chance to cripple an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryCrippled01)",affixModCripple4,[D6D162]Legendary[-] Cripple,You have a 50% chance to cripple an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryCrippled01)",affixModCripple5,[FF3646]Mythic[-] Cripple,You have a 60% chance to cripple an enemy with a headshot.,"AddBuff on onSelfDamagedOther (target=other, buff=buffInjuryCrippled01)",affixModCripple6
affixModDismemberPerc,"tool,weapon",Common Dismemberment Upgrade,Increases dismemberment chance by 20%.,DismemberChance base_add 0.2,affixModDismemberPerc1,[68F968]Uncommon[-] Dismemberment Upgrade,Increases dismemberment chance by 40%.,DismemberChance base_add 0.4,affixModDismemberPerc2,[38A6F6]Rare[-] Dismemberment Upgrade,Increases dismemberment chance by 60%.,DismemberChance base_add 0.6,affixModDismemberPerc3,[852EC8]Epic[-] Dismemberment Upgrade,Increases dismemberment chance by 80%.,DismemberChance base_add 0.8,affixModDismemberPerc4,[D6D162]Legendary[-] Dismemberment Upgrade,Increases dismemberment chance by 100%.,DismemberChance base_add 1,affixModDismemberPerc5,[FF3646]Mythic[-] Dismemberment Upgrade,Increases dismemberment chance by 120%.,DismemberChance base_add 1.2,affixModDismemberPerc6
affixModEntityDamageBase,"tool,weapon",Common Base Entity Damage,Increases base entity damage by 1.,EntityDamage base_add 1,affixModEntityDamageBase1,[68F968]Uncommon[-] Base Entity Damage,Increases base entity damage by 2.,EntityDamage base_add 2,affixModEntityDamageBase2,[38A6F6]Rare[-] Base Entity Damage,Increases base entity damage by 3.,EntityDamage base_add 3,affixModEntityDamageBase3,[852EC8]Epic[-] Base Entity Damage,Increases base entity damage by 4.,EntityDamage base_add 4,affixModEntityDamageBase4,[D6D162]Legendary[-] Base Entity Damage,Increases base entity damage by 5.,EntityDamage base_add 5,affixModEntityDamageBase5,[FF3646]Mythic[-] Base Entity Damage,Increases base entity damage by 6.,EntityDamage base_add 6,affixModEntityDamageBase6
affixModEntityDamagePerc,"tool,weapon",Common Entity Damage %,This weapon is somewhat sharpened albeit a little dull still. Increases weapon entity damage by 10%.,EntityDamage perc_add 0.1,affixModEntityDamagePerc1,[68F968]Uncommon[-] Entity Damage %,It's getting a little better. Increases weapon entity damage by 20%.,EntityDamage perc_add 0.2,affixModEntityDamagePerc2,[38A6F6]Rare[-] Entity Damage %,Now we're talking. This weapon is quite sharp. Increases weapon entity damage by 30%.,EntityDamage perc_add 0.3,affixModEntityDamagePerc3,[852EC8]Epic[-] Entity Damage %,Be careful! Don't touch the tip. You might cut yourself. Increases weapon entity damage by 40%.,EntityDamage perc_add 0.4,affixModEntityDamagePerc4,[D6D162]Legendary[-] Entity Damage %,A Razor sharp weapon. It will cut through the thickest skin. Increases weapon entity damage by 50%.,EntityDamage perc_add 0.5,affixModEntityDamagePerc5,[FF3646]Mythic[-] Entity Damage %,Incredible! This weapon is so sharp it could cut through stone! Unless.. you know.. its a blunt weapon... Increases weapon entity damage by 60%.,EntityDamage perc_add 0.6,affixModEntityDamagePerc6
affixModEntityDamagePowerBase,"tool,melee",Common Power Damage Base,Increases base weapon damage for power attacks by 1.5.,EntityDamage base_add 1.5,affixModEntityDamagePowerBase1,[68F968]Uncommon[-] Base Power Damage Base,Increases base weapon damage for power attacks by 3.,EntityDamage base_add 3,affixModEntityDamagePowerBase2,[38A6F6]Rare[-] Power Damage Base,Increases base weapon damage for power attacks by 4.5.,EntityDamage base_add 4.5,affixModEntityDamagePowerBase3,[852EC8]Epic[-] Power Damage Base,Increases base weapon damage for power attacks by 6.,EntityDamage base_add 6,affixModEntityDamagePowerBase4,[D6D162]Legendary[-] Power Damage Base,Increases base weapon damage for power attacks by 7.,EntityDamage base_add 7.5,affixModEntityDamagePowerBase5,[FF3646]Mythic[-] Power Damage Base,Increases base weapon damage for power attacks by 9.,EntityDamage base_add 9,affixModEntityDamagePowerBase6
affixModEntityDamagePowerPerc,"tool,melee",Common Power Damage %,Increases weapon power attack damage by 10%.,EntityDamage perc_add 0.1,affixModEntityDamagePowerPerc1,[68F968]Uncommon[-] Power Damage %,Increases weapon power attack damage by 20%.,EntityDamage perc_add 0.2,affixModEntityDamagePowerPerc2,[38A6F6]Rare[-] Power Damage %,Increases weapon power attack damage by 30%.,EntityDamage perc_add 0.3,affixModEntityDamagePowerPerc3,[852EC8]Epic[-] Power Damage %,Increases weapon power attack damage by 40%.,EntityDamage perc_add 0.4,affixModEntityDamagePowerPerc4,[D6D162]Legendary[-] Power Damage %,Increases weapon power attack damage by 50%.,EntityDamage perc_add 0.5,affixModEntityDamagePowerPerc5,[FF3646]Mythic[-] Power Damage %,Increases weapon power attack damage by 60%.,EntityDamage perc_add 0.6,affixModEntityDamagePowerPerc6
affixModFullHealthDamagePerc,"tool,weapon",Common Full HP Bonus,Increases damage to zombies with full HP by 20%.,EntityDamage perc_add .2,affixModFullHealthDamagePerc1,[68F968]Uncommon[-] Full HP Bonus,Increases damage to zombies with full HP by 40%.,EntityDamage perc_add .4,affixModFullHealthDamagePerc2,[38A6F6]Rare[-] Full HP Bonus,Increases damage to zombies with full HP by 60%.,EntityDamage perc_add .6,affixModFullHealthDamagePerc3,[852EC8]Epic[-] Full HP Bonus,Increases damage to zombies with full HP by 80%.,EntityDamage perc_add .8,affixModFullHealthDamagePerc4,[D6D162]Legendary[-] Full HP Bonus,Increases damage to zombies with full HP by 100%.,EntityDamage perc_add 1,affixModFullHealthDamagePerc5,[FF3646]Mythic[-] Full HP Bonus,Increases damage to zombies with full HP by 120%.,EntityDamage perc_add 1.2,affixModFullHealthDamagePerc6
affixModGlancingPerc,"tool,melee",Common Cleave Bonus,Increases your glancing hit damage by 200%.,GrazeDamageMultiplier perc_add 2,affixModGlancingPerc1,[68F968]Uncommon[-] Cleave Bonus,Increases your glancing hit damage by 400%.,GrazeDamageMultiplier perc_add 4,affixModGlancingPerc2,[38A6F6]Rare[-] Cleave Bonus,Increases your glancing hit damage by 600%.,GrazeDamageMultiplier perc_add 6,affixModGlancingPerc3,[852EC8]Epic[-] Cleave Bonus,Increases your glancing hit damage by 800%.,GrazeDamageMultiplier perc_add 8,affixModGlancingPerc4,[D6D162]Legendary[-] Cleave Bonus,Increases your glancing hit damage by 1000%.,GrazeDamageMultiplier perc_add 10,affixModGlancingPerc5,[FF3646]Mythic[-] Cleave Bonus,Increases your glancing hit damage by 1200%.,GrazeDamageMultiplier perc_add 12,affixModGlancingPerc6
affixModGunAccuracy,ranged,Common Accuracy,Increases shooting accuracy by 6%.,SpreadDegreesVertical perc_add -.06 | SpreadDegreesHorizontal perc_add -.06,affixModGunAccuracy1,[68F968]Uncommon[-] Accuracy,Increases shooting accuracy by 12%.,SpreadDegreesVertical perc_add -.12 | SpreadDegreesHorizontal perc_add -.12,affixModGunAccuracy2,[38A6F6]Rare[-] Accuracy,Increases shooting accuracy by 18%.,SpreadDegreesVertical perc_add -.18 | SpreadDegreesHorizontal perc_add -.18,affixModGunAccuracy3,[852EC8]Epic[-] Accuracy,Increases shooting accuracy by 24%.,SpreadDegreesVertical perc_add -.24 | SpreadDegreesHorizontal perc_add -.24,affixModGunAccuracy4,[D6D162]Legendary[-] Accuracy,Increases shooting accuracy by 30%.,SpreadDegreesVertical perc_add -.3 | SpreadDegreesHorizontal perc_add -.3,affixModGunAccuracy5,[FF3646]Mythic[-] Accuracy,Increases shooting accuracy by 36%.,SpreadDegreesVertical perc_add -.36 | SpreadDegreesHorizontal perc_add -.36,affixModGunAccuracy6
affixModHarvestCount,tool,Common Resource Bonus,You collect 10% more resources with this tool.,HarvestCount perc_add .1,affixModHarvestCount1,[68F968]Uncommon[-] Resource Bonus,You collect 20% more resources with this tool.,HarvestCount perc_add .2,affixModHarvestCount2,[38A6F6]Rare[-] Resource Bonus,You collect 30% more resources with this tool.,HarvestCount perc_add .3,affixModHarvestCount3,[852EC8]Epic[-] Resource Bonus,You collect 40% more resources with this tool.,HarvestCount perc_add .4,affixModHarvestCount4,[D6D162]Legendary[-] Resource Bonus,You collect 50% more resources with this tool.,HarvestCount perc_add .5,affixModHarvestCount5,[FF3646]Mythic[-] Resource Bonus,You collect 60% more resources with this tool.,HarvestCount perc_add .6,affixModHarvestCount6
affixModHeadshotDamageBase,"tool,weapon",Common Headshot Base,Increases base weapon damage by 1.5 when dealing headshot damage.,DamageModifier base_add 1.5,affixModHeadshotDamageBase1,[68F968]Uncommon[-] Headshot Base,Increases base weapon damage by 3 when dealing headshot damage.,DamageModifier base_add 3,affixModHeadshotDamageBase2,[38A6F6]Rare[-] Headshot Base,Increases base weapon damage by 4.5 when dealing headshot damage.,DamageModifier base_add 4.5,affixModHeadshotDamageBase3,[852EC8]Epic[-] Headshot Base,Increases base weapon damage by 6 when dealing headshot damage.,DamageModifier base_add 6,affixModHeadshotDamageBase4,[D6D162]Legendary[-] Headshot Base,Increases base weapon damage by 7.5 when dealing headshot damage.,DamageModifier base_add 7.5,affixModHeadshotDamageBase5,[FF3646]Mythic[-] Headshot Base,Increases base weapon damage by 9 when dealing headshot damage.,DamageModifier base_add 9,affixModHeadshotDamageBase6
affixModHeadshotDamagePerc,"tool,weapon",Common Headshot%,Increases headshot damage by 15%.,DamageModifier perc_add 0.15,affixModHeadshotDamagePerc1,[68F968]Uncommon[-] Headshot%,Increases headshot damage by 30%.,DamageModifier perc_add 0.3,affixModHeadshotDamagePerc2,[38A6F6]Rare[-] Headshot%,Increases headshot damage by 45%.,DamageModifier perc_add 0.45,affixModHeadshotDamagePerc3,[852EC8]Epic[-] Headshot%,Increases headshot damage by 60%.,DamageModifier perc_add 0.6,affixModHeadshotDamagePerc4,[D6D162]Legendary[-] Headshot%,Increases headshot damage by 75%.,DamageModifier perc_add 0.75,affixModHeadshotDamagePerc5,[FF3646]Mythic[-] Headshot%,Increases headshot damage by 90%.,DamageModifier perc_add 0.9,affixModHeadshotDamagePerc6
affixModInstalKill,"tool,weapon",,,,,,,,,,,,,,,,,[D6D162]Legendary[-] Instakill,You have a 1% chance to instakill with every hit,EntityDamage base_add 99999,affixModInstalKill5,[FF3646]Mythic[-] Instakill,You have a 2% chance to instakill with every hit,EntityDamage base_add 99999,affixModInstalKill6
affixModKillStreakDamage,"tool,weapon",Common Killstreak Damage,Increases weapon damage by 10% for each kill as long as you keep killing within 7 seconds.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakDamage1),affixModKillStreakDamage1,[68F968]Uncommon[-] Killstreak Damage,Increases weapon damage by 10% for each kill as long as you keep killing within 14 seconds.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakDamage2),affixModKillStreakDamage2,[38A6F6]Rare[-] Killstreak Damage,Increases weapon damage by 10% for each kill as long as you keep killing within 21 seconds.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakDamage3),affixModKillStreakDamage3,[852EC8]Epic[-] Killstreak Damage,Increases weapon damage by 10% for each kill as long as you keep killing within 28 seconds.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakDamage4),affixModKillStreakDamage4,[D6D162]Legendary[-] Killstreak Damage,Increases weapon damage by 10% for each kill as long as you keep killing within 35 seconds.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakDamage5),affixModKillStreakDamage5,[FF3646]Mythic[-] Killstreak Damage,Increases weapon damage by 10% for each kill as long as you keep killing within 42 seconds.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakDamage6),affixModKillStreakDamage6
affixModKillStreakMaxHP,"tool,weapon",,,,,,,,,,,,,,,,,,,,,[FF3646]Mythic[-] Kill Streak HP,Increases your max HP by 1 for every kill as long as you keep killing.,AddBuff on onSelfKilledOther (buff=buffaffixModKillStreakMaxHP6),affixModKillStreakMaxHP6
affixModKnockedDamagePerc,"tool,weapon",Common Knockdown Damage,Increases damage to knocked down enemies by 20%.,EntityDamage perc_add .2,affixModKnockedDamagePerc1,[68F968]Uncommon[-] Knockdown Damage,Increases damage to knocked down enemies by 40%.,EntityDamage perc_add .4,affixModKnockedDamagePerc2,[38A6F6]Rare[-] Knockdown Damage,Increases damage to knocked down enemies by 60%.,EntityDamage perc_add .6,affixModKnockedDamagePerc3,[852EC8]Epic[-] Knockdown Damage,Increases damage to knocked down enemies by 80%.,EntityDamage perc_add .8,affixModKnockedDamagePerc4,[D6D162]Legendary[-] Knockdown Damage,Increases damage to knocked down enemies by 100%.,EntityDamage perc_add 1,affixModKnockedDamagePerc5,[FF3646]Mythic[-] Knockdown Damage,Increases damage to knocked down enemies by 120%.,EntityDamage perc_add 1.2,affixModKnockedDamagePerc6
affixModLifesteal,melee,,,,,,,,,,,,,,,,,[D6D162]Legendary[-] Lifesteal,Are you a vampire or something? Heal 1 HP every hit.,"ModifyStats on onSelfAttackedOther (stat=Health, operation=add, value=1) | ModifyStats on onSelfKilledOther (stat=Health, operation=add, value=1)",affixModLifesteal5,[FF3646]Mythic[-] Lifesteal,You're a vampire... I think. Heal 1 HP every hit. Additionally heal 2 HP on every kill.,"ModifyStats on onSelfAttackedOther (stat=Health, operation=add, value=1) | ModifyStats on onSelfKilledOther (stat=Health, operation=add, value=3)",affixModLifesteal6
affixModLowHealthDamagePerc,"tool,weapon",Common Low HP Bonus,Increases damage to zombies with less than 33% remaining HP by 20%.,EntityDamage perc_add .2,affixModLowHealthDamagePerc1,[68F968]Uncommon[-] Low HP Bonus,Increases damage to zombies with less than 33% remaining HP by 40%.,EntityDamage perc_add .4,affixModLowHealthDamagePerc2,[38A6F6]Rare[-] Low HP Bonus,Increases damage to zombies with less than 33% remaining HP by 60%.,EntityDamage perc_add .6,affixModLowHealthDamagePerc3,[852EC8]Epic[-] Low HP Bonus,Increases damage to zombies with less than 33% remaining HP by 80%.,EntityDamage perc_add .8,affixModLowHealthDamagePerc4,[D6D162]Legendary[-] Low HP Bonus,Increases damage to zombies with less than 33% remaining HP by 100%.,EntityDamage perc_add 1,affixModLowHealthDamagePerc5,[FF3646]Mythic[-] Low HP Bonus,Increases damage to zombies with less than 33% remaining HP by 120%.,EntityDamage perc_add 1.2,affixModLowHealthDamagePerc6
affixModLowHpBonusDamage,"tool,weapon",Common Damage at LowHP,Increases weapon damage by 20% when you're at less than 30% HP.,EntityDamage perc_add .2,affixModLowHpBonusDamage1,[68F968]Uncommon[-] Damage at LowHP,Increases weapon damage by 40% when you're at less than 30% HP.,EntityDamage perc_add .4,affixModLowHpBonusDamage2,[38A6F6]Rare[-] Damage at LowHP,Increases weapon damage by 60% when you're at less than 30% HP.,EntityDamage perc_add .6,affixModLowHpBonusDamage3,[852EC8]Epic[-] Damage at LowHP,Increases weapon damage by 80% when you're at less than 30% HP.,EntityDamage perc_add .8,affixModLowHpBonusDamage4,[D6D162]Legendary[-] Damage at LowHP,Increases weapon damage by 100% when you're at less than 30% HP.,EntityDamage perc_add 1,affixModLowHpBonusDamage5,[FF3646]Mythic[-] Damage at LowHP,Increases weapon damage by 120% when you're at less than 30% HP.,EntityDamage perc_add 1.2,affixModLowHpBonusDamage6
affixModMagSizeBase,magazine,Common Magazine Base,Increases magazine size by 2.,MagazineSize base_add 2,affixModMagSizeBase1,[68F968]Uncommon[-] Magazine Base,Increases magazine size by 4.,MagazineSize base_add 4,affixModMagSizeBase2,[38A6F6]Rare[-] Magazine Base,Increases magazine size by 6.,MagazineSize base_add 6,affixModMagSizeBase3,[852EC8]Epic[-] Magazine Base,Increases magazine size by 8.,MagazineSize base_add 8,affixModMagSizeBase4,[D6D162]Legendary[-] Magazine Base,Increases magazine size by 10.,MagazineSize base_add 10,affixModMagSizeBase5,[FF3646]Mythic[-] Magazine Base,Increases magazine size by 12.,MagazineSize base_add 12,affixModMagSizeBase6
