set_bonus_buff,set_name,quality,armor_group,localized_name,localized_description,localized_tooltip,effects_from_xml
buffAssassinSetBonus,Assassin,4,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=DamageBonus, operation=base_add, value=.6) | passive_effect(name=EntityDamage, operation=perc_add, value=.6)"
buffAssassinSetBonus,Assassin,4,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=EnemySearchDuration, operation=perc_add, value=.6) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=25) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=25) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=60) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=60) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAssassinFSBDisplay01,.armorAssassinFSBDisplay02)"
buffAssassinSetBonus,Assassin,5,groupRogue,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=LightMultiplier, operation=perc_add, value=-.35) | passive_effect(name=NoiseMultiplier, operation=perc_add, value=-.999) | passive_effect(name=CrouchSpeed, operation=perc_add, value=.35) | passive_effect(name=EnemySearchDuration, operation=perc_add, value=.35) | passive_effect(name=SilenceBlockSteps, operation=base_set, value=1, tags=trashPile)"
buffAssassinSetBonus,Assassin,5,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=DamageBonus, operation=base_add, value=.75) | passive_effect(name=EntityDamage, operation=perc_add, value=.75)"
buffAssassinSetBonus,Assassin,5,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=EnemySearchDuration, operation=perc_add, value=.75) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=35) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=35) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=75) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=75) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAssassinFSBDisplay01,.armorAssassinFSBDisplay02)"
buffAssassinSetBonus,Assassin,6,groupRogue,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=LightMultiplier, operation=perc_add, value=-.5) | passive_effect(name=NoiseMultiplier, operation=perc_add, value=-.999) | passive_effect(name=CrouchSpeed, operation=perc_add, value=.5) | passive_effect(name=EnemySearchDuration, operation=perc_add, value=.5) | passive_effect(name=SilenceBlockSteps, operation=base_set, value=1, tags=trashPile)"
buffAssassinSetBonus,Assassin,6,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=DamageBonus, operation=base_add, value=1) | passive_effect(name=EntityDamage, operation=perc_add, value=1)"
buffAssassinSetBonus,Assassin,6,groupAssassin,,"With unmatched agility, the Assassin slips away into the shadows.\nBecome hidden {cvar(.armorAssassinFSBDisplay02:0)}% faster.\nYour sneaking ability improves by {cvar(.armorAssassinFSBDisplay01:0)}%.\nNoise is completely nullified.\nSneak damage bonus is increased by {cvar(.armorAssassinFSBDisplay02:0)}%.",,"passive_effect(name=EnemySearchDuration, operation=perc_add, value=1) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=50) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay01, operation=set, value=50) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=100) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAssassinFSBDisplay02, operation=set, value=100) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAssassinFSBDisplay01,.armorAssassinFSBDisplay02)"
buffAthleticSetBonus,Athletic,1,groupAthletic,,The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\nRunning speed increased by {cvar(.armorAthleticFSBDisplay01:0)}%.\nStamina regenerates {cvar(.armorAthleticFSBDisplay02:0)}% faster while running.\nMax stamina is increased by {cvar(.armorAthleticFSBDisplay03:0)}.,,"passive_effect(name=RunSpeed, operation=perc_add, value=.02) | passive_effect(name=StaminaChangeOT, operation=perc_add, value=.03, tags=running) | passive_effect(name=StaminaMax, operation=base_add, value=5) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=2) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=2) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=3) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=3) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=5) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=5) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAthleticFSBDisplay01,.armorAthleticFSBDisplay02,.armorAthleticFSBDisplay03)"
buffAthleticSetBonus,Athletic,2,groupAthletic,,The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\nRunning speed increased by {cvar(.armorAthleticFSBDisplay01:0)}%.\nStamina regenerates {cvar(.armorAthleticFSBDisplay02:0)}% faster while running.\nMax stamina is increased by {cvar(.armorAthleticFSBDisplay03:0)}.,,"passive_effect(name=RunSpeed, operation=perc_add, value=.04) | passive_effect(name=StaminaChangeOT, operation=perc_add, value=.06, tags=running) | passive_effect(name=StaminaMax, operation=base_add, value=10) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=4) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=4) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=6) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=6) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=10) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=10) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAthleticFSBDisplay01,.armorAthleticFSBDisplay02,.armorAthleticFSBDisplay03)"
buffAthleticSetBonus,Athletic,3,groupAthletic,,The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\nRunning speed increased by {cvar(.armorAthleticFSBDisplay01:0)}%.\nStamina regenerates {cvar(.armorAthleticFSBDisplay02:0)}% faster while running.\nMax stamina is increased by {cvar(.armorAthleticFSBDisplay03:0)}.,,"passive_effect(name=RunSpeed, operation=perc_add, value=.06) | passive_effect(name=StaminaChangeOT, operation=perc_add, value=.09, tags=running) | passive_effect(name=StaminaMax, operation=base_add, value=15) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=6) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=6) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=9) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=9) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=15) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=15) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAthleticFSBDisplay01,.armorAthleticFSBDisplay02,.armorAthleticFSBDisplay03)"
buffAthleticSetBonus,Athletic,4,groupAthletic,,The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\nRunning speed increased by {cvar(.armorAthleticFSBDisplay01:0)}%.\nStamina regenerates {cvar(.armorAthleticFSBDisplay02:0)}% faster while running.\nMax stamina is increased by {cvar(.armorAthleticFSBDisplay03:0)}.,,"passive_effect(name=RunSpeed, operation=perc_add, value=.08) | passive_effect(name=StaminaChangeOT, operation=perc_add, value=.15, tags=running) | passive_effect(name=StaminaMax, operation=base_add, value=20) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=8) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=8) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=15) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=15) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=20) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=20) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAthleticFSBDisplay01,.armorAthleticFSBDisplay02,.armorAthleticFSBDisplay03)"
buffAthleticSetBonus,Athletic,5,groupAthletic,,The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\nRunning speed increased by {cvar(.armorAthleticFSBDisplay01:0)}%.\nStamina regenerates {cvar(.armorAthleticFSBDisplay02:0)}% faster while running.\nMax stamina is increased by {cvar(.armorAthleticFSBDisplay03:0)}.,,"passive_effect(name=RunSpeed, operation=perc_add, value=.1) | passive_effect(name=StaminaChangeOT, operation=perc_add, value=.25, tags=running) | passive_effect(name=StaminaMax, operation=base_add, value=25) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=10) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=10) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=25) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=25) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=25) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=25) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAthleticFSBDisplay01,.armorAthleticFSBDisplay02,.armorAthleticFSBDisplay03)"
buffAthleticSetBonus,Athletic,6,groupAthletic,,The ergonomic fit of an Athlete's gear helps them maintain peak performance without spending extra energy.\nRunning speed increased by {cvar(.armorAthleticFSBDisplay01:0)}%.\nStamina regenerates {cvar(.armorAthleticFSBDisplay02:0)}% faster while running.\nMax stamina is increased by {cvar(.armorAthleticFSBDisplay03:0)}.,,"passive_effect(name=RunSpeed, operation=perc_add, value=.2) | passive_effect(name=StaminaChangeOT, operation=perc_add, value=.4, tags=running) | passive_effect(name=StaminaMax, operation=base_add, value=40) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=20) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay01, operation=set, value=20) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=40) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay02, operation=set, value=40) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=40) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorAthleticFSBDisplay03, operation=set, value=40) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorAthleticFSBDisplay01,.armorAthleticFSBDisplay02,.armorAthleticFSBDisplay03)"
buffBikerSetBonus,Biker,1,groupBiker,,"A Biker's full road gear is not only intimidating, but provides additional physical protection.\nMinibikes and motorcycles use {cvar(.armorBikerFSBDisplay02:0)}% less fuel.\nIncrease your critical injury resistance by {cvar(.armorBikerFSBDisplay01:0)}%.\nGain {cvar(.armorBikerFSBDisplay01:0)} extra max hp.",,"passive_effect(name=BuffResistance, operation=base_add, value=.05, tags=buffInfectionCatch,buffFatiguedTrigger,buffArmSprainedCHTrigger,buffLegSprainedCHTrigger,buffAbrasionCatch,buffLaceration,buffInjuryStunned01CHTrigger,buffInjuryBleedingTwo,buffInjuryBleedingBarbedWire) | passive_effect(name=HealthMax, operation=base_add, value=5) | passive_effect(name=VehicleFuelUsePer, operation=perc_subtract, value=.05, tags=bikerSetBonus) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=5) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=5) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=5) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=5) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorBikerFSBDisplay01,.armorBikerFSBDisplay02)"
buffBikerSetBonus,Biker,2,groupBiker,,"A Biker's full road gear is not only intimidating, but provides additional physical protection.\nMinibikes and motorcycles use {cvar(.armorBikerFSBDisplay02:0)}% less fuel.\nIncrease your critical injury resistance by {cvar(.armorBikerFSBDisplay01:0)}%.\nGain {cvar(.armorBikerFSBDisplay01:0)} extra max hp.",,"passive_effect(name=BuffResistance, operation=base_add, value=.1, tags=buffInfectionCatch,buffFatiguedTrigger,buffArmSprainedCHTrigger,buffLegSprainedCHTrigger,buffAbrasionCatch,buffLaceration,buffInjuryStunned01CHTrigger,buffInjuryBleedingTwo,buffInjuryBleedingBarbedWire) | passive_effect(name=HealthMax, operation=base_add, value=10) | passive_effect(name=VehicleFuelUsePer, operation=perc_subtract, value=.1, tags=bikerSetBonus) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=10) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=10) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=10) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=10) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorBikerFSBDisplay01,.armorBikerFSBDisplay02)"
buffBikerSetBonus,Biker,3,groupBiker,,"A Biker's full road gear is not only intimidating, but provides additional physical protection.\nMinibikes and motorcycles use {cvar(.armorBikerFSBDisplay02:0)}% less fuel.\nIncrease your critical injury resistance by {cvar(.armorBikerFSBDisplay01:0)}%.\nGain {cvar(.armorBikerFSBDisplay01:0)} extra max hp.",,"passive_effect(name=BuffResistance, operation=base_add, value=.15, tags=buffInfectionCatch,buffFatiguedTrigger,buffArmSprainedCHTrigger,buffLegSprainedCHTrigger,buffAbrasionCatch,buffLaceration,buffInjuryStunned01CHTrigger,buffInjuryBleedingTwo,buffInjuryBleedingBarbedWire) | passive_effect(name=HealthMax, operation=base_add, value=15) | passive_effect(name=VehicleFuelUsePer, operation=perc_subtract, value=.15, tags=bikerSetBonus) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=15) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=15) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=15) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=15) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorBikerFSBDisplay01,.armorBikerFSBDisplay02)"
buffBikerSetBonus,Biker,4,groupBiker,,"A Biker's full road gear is not only intimidating, but provides additional physical protection.\nMinibikes and motorcycles use {cvar(.armorBikerFSBDisplay02:0)}% less fuel.\nIncrease your critical injury resistance by {cvar(.armorBikerFSBDisplay01:0)}%.\nGain {cvar(.armorBikerFSBDisplay01:0)} extra max hp.",,"passive_effect(name=BuffResistance, operation=base_add, value=.2, tags=buffInfectionCatch,buffFatiguedTrigger,buffArmSprainedCHTrigger,buffLegSprainedCHTrigger,buffAbrasionCatch,buffLaceration,buffInjuryStunned01CHTrigger,buffInjuryBleedingTwo,buffInjuryBleedingBarbedWire) | passive_effect(name=HealthMax, operation=base_add, value=20) | passive_effect(name=VehicleFuelUsePer, operation=perc_subtract, value=.25, tags=bikerSetBonus) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=20) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay01, operation=set, value=20) | triggered_effect(trigger=onSelfBuffStart, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=25) | triggered_effect(trigger=onSelfBuffUpdate, action=ModifyCVar, cvar=.armorBikerFSBDisplay02, operation=set, value=25) | triggered_effect(trigger=onSelfBuffRemove, action=RemoveCVar, cvar=.armorBikerFSBDisplay01,.armorBikerFSBDisplay02)"
